"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","gir","hole_proximity","x_of_attempts","putts_round","scramble","sg_putt","sg_t2g","sg_total","sg_approach","sg_tee","sg_ar","par4_sa","par3_sa","par5_sa","covered_tee","left_rough","right_rough","fair_bunk","gir_fair","gir_not_fair","prox_fair","prox_rough","go_for_green","sand_save","prox_arg","putt_25","putt15_25","putt10_15","putt_10","finround_sa"
"120",2022,"Ryan Armour","120",NA,NA,71.259,28,20.97,72.12,287.7,69.25,"8,273.167",270,29.25,65.16,-0.032,0.286,0.254,0.215,0.437,-0.366,3.96,3.08,4.74,62.42,11.48,12.44,3.8,78.37,56.88,"27' 7""","47' 0""",21.74,60,"7' 6""",8.47,13.7,34.09,90.08,70
"121",2022,"Tony Finau","121",NA,NA,71.677,35,25.68,52.44,300.8,70.31,"15,707.750",441,29.16,61.99,-0.572,0.651,0.079,0.621,0.285,-0.256,4.01,3.01,4.51,64.28,14.94,22.13,5.5,82.2,57.48,"29' 4""","41' 4""",25.84,43.75,"6' 5""",5.66,16.28,20.9,86.53,67.67
"122",2022,"Greyson Sigg","122",NA,NA,71.075,56,14.96,62.16,293.4,66.37,"25,517.750",680,28.7,64.9,0.06,-0.12,-0.06,0.088,-0.073,-0.134,4.01,3.01,4.63,62.12,14.15,15.11,7.8,76.4,56.12,"33' 2""","46' 4""",16.87,48.19,"7' 6""",7.24,15.08,25.44,88.74,70.58
"123",2022,"Sean O'Hair","123",NA,NA,71.378,20,20.83,67.51,292.8,64.72,"6,876.167",180,28.5,63.78,0.284,-0.766,-0.483,-0.874,-0.247,0.354,4.04,3.02,4.64,61.17,13.33,16.3,5.2,74.33,53.33,"35' 8""","44' 11""",11.76,65.12,"7' 0""",7.41,12,45.45,87.98,71
"124",2022,"Nick Hardy","124",NA,NA,71.599,35,16.84,56.03,303.2,68.41,"13,651.250",373,29.29,57.79,-0.267,-0.35,-0.617,-0.223,0.395,-0.523,4.01,3.05,4.69,64.39,12.97,22.18,6.8,77.37,59.07,"32' 4""","42' 8""",19.61,45.28,"8' 2""",1.09,11.54,32.76,87.98,70.6
"125",2022,"Brian Gay","125",NA,NA,71.697,35,17.54,60.82,281.6,57.62,"16,155.333",424,27.54,56.93,1.136,-2.156,-1.02,-1.505,-0.897,0.246,4.02,3.17,4.76,61.54,10.3,12.73,5.5,69.15,44.74,"34' 8""","42' 9""",21.88,60.87,"8' 5""",6.6,26.51,31.75,90.75,68.33
"126",2022,"Austin Smotherman","126",NA,NA,71.545,39,17.92,62.48,303.1,67.95,"14,796.333",446,29.15,56.89,-0.381,0.575,0.195,0.619,0.415,-0.458,4.05,3.04,4.64,63.62,13.04,10.14,7.8,78.4,50.74,"28' 11""","44' 0""",15.25,37.93,"7' 11""",4.9,6.59,24.59,88.98,69.71
"127",2022,"Tyler McCumber","T127",1,NA,71.937,28,14.61,53.25,313.1,66.87,"12,158.417",319,29.71,52.1,0.098,-1.353,-1.254,-0.468,-0.528,-0.355,4.14,3.05,4.61,65.02,13.52,19.67,5.7,81.95,51.11,"31' 11""","44' 1""",18.42,57.45,"9' 9""",6.52,16.67,37.74,85.84,68
"128",2022,"Francesco Molinari","T127",1,NA,71.624,29,20.73,57.57,293.6,62.84,"16,935.750",425,28.41,60.31,0.042,-0.444,-0.401,-0.321,-0.302,0.18,4.02,3.01,4.73,62.65,12.31,18.32,7.8,76.72,46.2,"33' 11""","46' 9""",20.34,55.81,"8' 5""",5.77,18.42,36.36,87.47,70.5
"129",2022,"Dylan Frittelli","129",1,NA,71.279,51,17.48,50.35,303.1,65.8,"27,891.917",698,28.82,58.6,-0.001,0.081,0.08,0.201,-0.25,0.13,4.05,3.06,4.63,63.56,14.93,18.66,7.6,78.43,55.11,"34' 6""","48' 2""",12.26,51.09,"7' 9""",3.64,16.41,36.21,87.98,71.11
